https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume POLY,Volume BTC,tradecount
1649376000000,2022-04-08,POLYBTC,1.015e-05,1.021e-05,9.82e-06,1.005e-05,354204.0,3.55912439,1262
1649289600000,2022-04-07,POLYBTC,9.84e-06,1.017e-05,9.69e-06,1.014e-05,650028.0,6.47756141,1600
1649203200000,2022-04-06,POLYBTC,1.062e-05,1.084e-05,9.73e-06,9.85e-06,1130593.0,11.43739073,3155
1649116800000,2022-04-05,POLYBTC,1.094e-05,1.094e-05,1.057e-05,1.06e-05,425855.0,4.56097276,1388
1649030400000,2022-04-04,POLYBTC,1.178e-05,1.191e-05,1.07e-05,1.097e-05,1524578.0,17.04079976,4832
1648944000000,2022-04-03,POLYBTC,1.249e-05,1.249e-05,1.158e-05,1.175e-05,1101002.0,13.02760647,3805
1648857600000,2022-04-02,POLYBTC,1.173e-05,1.252e-05,1.152e-05,1.249e-05,2352650.0,28.27389699,8801
1648771200000,2022-04-01,POLYBTC,1.147e-05,1.18e-05,1.109e-05,1.174e-05,1485196.0,16.86678293,4452
1648684800000,2022-03-31,POLYBTC,1.089e-05,1.17e-05,1.083e-05,1.147e-05,3060132.0,34.23795569,10280
1648598400000,2022-03-30,POLYBTC,1.07e-05,1.1e-05,1.028e-05,1.089e-05,1735316.0,18.48602933,5967
1648512000000,2022-03-29,POLYBTC,1.051e-05,1.077e-05,1.009e-05,1.071e-05,1820724.0,19.03258076,5747
1648425600000,2022-03-28,POLYBTC,1.043e-05,1.069e-05,1.021e-05,1.051e-05,1564706.0,16.32883309,5173
1648339200000,2022-03-27,POLYBTC,1.016e-05,1.097e-05,1.006e-05,1.042e-05,2713543.0,28.09539331,8905
1648252800000,2022-03-26,POLYBTC,9.63e-06,1.016e-05,9.6e-06,1.015e-05,724016.0,7.1141276,2349
1648166400000,2022-03-25,POLYBTC,9.71e-06,9.83e-06,9.43e-06,9.63e-06,875370.0,8.42081263,2294
1648080000000,2022-03-24,POLYBTC,9.88e-06,9.95e-06,9.65e-06,9.72e-06,497420.0,4.87325927,1811
1647993600000,2022-03-23,POLYBTC,9.71e-06,1.018e-05,9.71e-06,9.89e-06,1179628.0,11.71378252,4117
